elevation,population_2020,rwi,No. Víctimas por Declaración,No. Sujetos Atención ,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",Amenaza,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,Desaparición forzada,Desplazamiento Forzado,"Homicidio, Masacre","Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",Secuestro,Tortura,Perdida de Bienes Muebles o Inmuebles ,Lesiones Personales Fisicas,Lesiones Personales Psicologicas,comimo_dist,airports_dist,seaport_dist,settlement_dist,finance_dist,edu_dist,buildings_dist,railways_dist,waterways_dist,roads_dist,coca_dist,Vocacion_Agroforestal,Vocacion_Agrícola,Vocacion_Conservación de Suelos,Vocacion_Cuerpo de agua,Vocacion_Forestal,Vocacion_Ganadera,Vocacion_Zonas urbanas,CLIMA_Cuerpo de agua,CLIMA_Cálido húmedo,CLIMA_Cálido húmedo a muy húmedo,CLIMA_Cálido seco,CLIMA_Cálido seco a húmedo,CLIMA_Frío húmedo a muy húmedo,CLIMA_Frío húmedo y frío muy húmedo,CLIMA_Frío muy húmedo,CLIMA_Muy frío y muy húmedo,CLIMA_Templado húmedo a muy húmedo,CLIMA_Zona urbana,TIPO_RELIE_Cuerpo de agua,TIPO_RELIE_Espinazos,TIPO_RELIE_Filas y vigas,TIPO_RELIE_Glacís coluvial y coluvios de remoción,TIPO_RELIE_Glacís y coluvios de remoción,TIPO_RELIE_Lomas y colinas,TIPO_RELIE_Plano de inundación,TIPO_RELIE_Terrazas,TIPO_RELIE_Terrazas y abanicos terrazas,TIPO_RELIE_Vallecitos,TIPO_RELIE_Vallecitos coluvio-aluviales,TIPO_RELIE_Zona urbana,LATITUD_Y,LONGITUD_X,geometry,mines_outcome,LGBM,LR,SVM,
-0.847064514,-0.095901031,-1.240079867,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-0.840664602,1.295265323,-0.693536239,1.280468067,-1.276106442,-0.252678986,1.089977026,2.665463626,-0.358942904,-0.220923085,4.588089035,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71427892,-75.56295027,POINT (-75.56295026927658 5.714278920242185),-1,0.910529166,0.029899734,0.395173982,
-0.870538742,-0.095901031,-0.389354535,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-1.089446513,1.15095132,-0.771350972,0.948993388,-1.383967092,-0.434183522,1.03388367,2.661785513,-0.545518137,-0.120872585,4.70539924,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.732227638,-75.56295027,POINT (-75.56295026927658 5.732227638190903),-1,0.895646201,0.02803189,0.441546932,
-0.742834529,-0.095901031,0.461370796,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-1.279995523,1.007272849,-0.843531065,1.176769387,-1.387494651,-0.428992138,1.045728246,2.660137997,0.116307536,0.964940049,4.832508717,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.750176356,-75.56295027,POINT (-75.56295026927658 5.750176356139621),-1,0.835370439,0.019979947,0.273251302,
-0.806213236,-0.095901031,0.169349482,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-1.326003732,0.935696545,-0.877306024,0.862776362,-1.345736019,-0.385036483,0.826901241,2.660076457,0.806799524,0.155582384,4.899536354,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.759150715,-75.56295027,POINT (-75.56295026927658 5.75915071511398),-1,0.931385158,0.018270706,0.041888376,
-0.951968029,-0.095901031,-0.41842398,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-0.612708184,1.418455884,-0.561260213,2.350669187,-0.987169445,0.239099711,1.010424373,2.62180945,0.034132566,0.847170225,4.360705059,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.696330202,-75.55397591,POINT (-75.55397591030223 5.696330202293467),-1,0.779537116,0.027821586,0.554475534,
-0.704580858,-0.095901031,-1.240079867,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-0.755366715,1.345544909,-0.602322847,2.050753625,-1.075527862,0.089316275,0.876175136,2.618673524,-0.326225836,0.053068084,4.413988309,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.705304561,-75.55397591,POINT (-75.55397591030223 5.705304561267826),-1,0.873616415,0.029209089,0.648269601,
-0.877649516,-0.095901031,-1.240079867,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-0.896471226,1.27275311,-0.642191387,1.807528583,-1.149678968,-0.03623101,0.779794707,2.616048474,-0.365956979,-0.736059236,4.470000816,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71427892,-75.55397591,POINT (-75.55397591030223 5.714278920242185),-1,0.905891955,0.029946681,0.597337812,`
-0.497097664,-0.095901031,-0.32710634,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-0.490424481,1.471488387,-0.4697787,3.125735229,-0.782533588,0.588299413,0.787189967,2.576136149,-0.428516892,-0.139445977,4.189019815,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.687355843,-75.54500155,POINT (-75.54500155132787 5.687355843319108),-1,0.903704292,0.029997345,0.876181641,
-0.465927382,-0.095901031,-0.583644356,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-0.636911726,1.398094825,-0.511055479,2.776214258,-0.873408607,0.434061287,0.735331993,2.572453468,-0.415787495,0.173559716,4.240697353,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.696330202,-75.54500155,POINT (-75.54500155132787 5.696330202293467),-1,0.82163516,0.029234051,0.828572571,
-0.594295274,-0.095901031,-0.32710634,-1.945303012,-1.895073865,-0.239793207,1.862247141,-0.875081448,-3.027958486,-1.800217644,-1.181144889,-1.326473314,-0.592173355,-0.34579808,-0.820693907,-1.520341243,-0.762801329,-0.348165253,1.526649705,-0.37826646,2.799067118,-0.577739229,0.93780552,0.465041823,2.531059731,-0.316026257,-0.222036773,4.018354001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.678381484,-75.53602719,POINT (-75.53602719235352 5.678381484344749),-1,0.890556477,0.035369326,0.927835776,
